302
302B
303
303-1
304
103
103-1
223
223A
급행91
17-1
60-5
70
700-1
800
800A
800B
14-1
인천e음11
인천e음12
인천e음13
인천e음21
인천e음22
인천e음31
인천e음53
인천e음85
인천e음86
인천e음87
인천e음88
904(강화)
903(강화)
10(강화)
10A(강화)
11(강화)
11A(강화)
12(강화)
12A(강화)
13(강화)
14(강화)
15(강화)
16(강화)
17(강화)
18(강화)
19(강화)
20(강화)
21(강화)
22(강화)
23(강화)
23A(강화)
24(강화)
25(강화)
26(강화)
27(강화)
28(강화)
29(강화)
3(강화)
30(강화)
30A(강화)
31A(강화)
31B(강화)
32(강화)
33(강화)
34(강화)
35A(강화)
35B(강화)
37(강화)
39(강화)
39A(강화)
4(강화)
40(강화)
41(강화)
42(강화)
43(강화)
44(강화)
44A(강화)
45(강화)
46(강화)
47(강화)
48(강화)
49(강화)
50(강화)
51(강화)
52(강화)
53(강화)
53A(강화)
54(강화)
55(강화)
57(강화)
58(강화)
59(강화)
61(강화)
62(강화)
9(강화)
901(강화)
902(강화)
905(강화)
906(강화)
대곡5
320
515
515-1
561
562
574
6-1
1300
1301
1302
35
523
525
65
65-1
급행98
10
2
2-1
45
급행95
1000
1400
1500
9500
522
524
565
585
591
592
594
순환52
111
111-2
111B
117
33
36
790
790A
790B
905-1
905-2
906-1
906-2
506
569
570
582
584
584-1
587
14
23
4
58
62
79
급행99
533
534
510
531
532
540
566
567
동구-1
동구-2
순환56
1200
300
595
72
80
87
9300
16
3-2
511
512
9
521
551
586
588
535
536
537
538
539
순환54
11
24-1
67-1
16-1
8
8A
M6628
15
28
28-1
인천e음45
인천e음84
1100
1101
1601
9501
9802
1
516
518
520
66
92
34
37
526
555
13
330
46
517
519
6777
82
93
M6751
202
202A
203
204
205
206
222
222(A)
222(B)
42
47
7
81
인천e음15
인천e음16
인천e음17
중구1
중구2
중구2-1
중구3
중구4
중구5
중구6
중구6-1
방개골 순환행
선재리행
십리포행
영흥도
무의1
22
6
9100
9200
9201
M6405
계양1
계양2
63
701
702
7700
순환41
순환42
순환43
순환44
12
76
76A
M6450
20
21
27
38
5
5-1
30
78
M6439
급행97
112
306
306A
307
308
310
43
43-1
44
M6724
556
558
571
581
583
590
순환83
인천e음55
인천e음61
인천e음71
6770
24
514-1
530
557
557A
560
564
564-1
564-2
579
593
순환51
