정류소명
부천테크노파크1.2단지
부천실내체육관
부천터미널소풍
논현11단지단풍마을
소래초등학교
공단자동차
금강탱크터미널
금호이수마운트밸리
동녘마을입구
공항초등학교
인천환경공단
양곡버스정류장
고창마을.KCC
롯데몰.김포공항
고다니마을9단지
양곡사거리.양촌터미널
한강센트럴블루힐.모아엘가2차
가현오일뱅크
온누리병원
청양골
검단우방아이유쉘아파트
한사랑어린이집
신일아파트
백석마을
신포사거리
애관극장
e편한세상영종오션하임정문
미추홀퍼스트2단지
제일시장사거리
집단에너지
동방초등학교
동방중학교
집단에너지시설
청라모아미래도
중독고개
중곡고개
신당촌
금월리종점
강화여자중학교
구면사무소
하도리입구
고능2리 종점
창후리종점
황청리종점
동검리종점
재활용품수집장
고능종점(지래)
수광티티아이
세화파렛텍
혜덕
큐티엘
풍산특수금속
금곡종점
계량소
부평6동우체국
동수교회
구도일주유소
그린힐아파트
마장공원
경남2차
경남1차
산곡한양7차
경남아파트308동앞
경남아파트311동앞
경남아파트313동앞
송도힐스테이트6단지
영진아파트
덕창기계
관교중학교
중앙공원사거리
(주)대한특수금속
연수3동행정복지센터
유천아파트후문
가천대학교(노인복지회관)
대동특수철강
능허대공원
KT송도지점
해사고등학교
청라푸르지오
아주아파트410동
새사미아파트
부평남초등학교앞
부평남부역
해사고등학교.한국이민사박물관
우성2차아파트
선학중학교
태산.대진아파트
선학동행정복지센터.정광아파트
선학어린이집
아모텍
거산정공.(주)록키
원인재역
부개3동행정복지센터
부흥로터리
부평중앙침례교회
부개3동행정복지센터입구
GM물류센터
신도실업(주)
연희공원
관리공단본부
나은병원
서부경찰서
국제성모병원(종점)
개화역광역환승센터
새한아파트
gym80fitness
삼은교회
대부고교차로
산업용품유통센터39동
수봉각
3단지관리사무소
현대310동(서중학교)
3단지
현대102동
현대1단지관리사무소
은영빌라
동광제일교회
한진아파트후문
계양역(귤현역방면)
서운일반산업단지(맞은편)
서운일반산업단지
한신빌리지아파트
바로크아파트
신화빌라
동춘롤러경기장
에덴하우스
검단탑종합병원
안동포사거리
대덕강업앞
주안매매단지
주안역센트레빌아파트정문
간석한신더휴아파트맞은편
주안5동행정복지센터
도화역
주안시범공단
더월드스테이트2단지
간석풍림아파트
540번종점
성문교회
간석4거리
상인천중학교
간석3동경로당
더월드스테이트후문
인제고등학교
도화e편한세상604동
배다리성냥마을박물관
창영어린이공원
인천세무서
동산휴먼시아2단지정문
동구노인인력개발센터
동구환경
인천터미널역
청천동
산곡동입구
덕유마을.설악마을
은하마을.중흥마을
은하쌍용아파트
중흥마을.은하마을
상1주민지원센터
송내남부역
독배로317번길(삼거리)
SK스카이뷰104동
SK스카이뷰109동
굴다리
인하대역
SK스카이뷰
삼성빌라(종점)
채석장
송도채석장
지산주택
효성명현초등학교
효성현대3차아파트
효성현대4차아파트
동보아파트후문
효성현대4차
효성파출소
담방아파트
GS칼텍스주유소
만수치안센터
엘지슈퍼
만수주공320동앞
만수중학교후문
만수중(대토단지)
대원정밀
부평농장의원입구
오성정밀
고려산업
청정주말농장
연세농장
보각사입구
신촌초등학교
미추홀아파트
송도더샵마스터뷰23단지(정문)
생산기술연구원
영림몰딩도어
엘아이지식산업센터(맞은편)
엘아이지식산업센터
한국생산기술연구원
송도더샵마스터뷰22단지(정문)
석천시장
삼산타운4단지
가좌환경사업소북측
에스틸
가좌환경사업소 북측
홈플러스.산림조합
조리미입구
사우역.김포고(김포초교방면)
김포초교
해피하임.기업은행앞
병무청(516종점)
학익동구치소
학익.원흥아파트
학익풍림아파트
아쿠아글로리
해성단조
계산삼거리
남양목재
금성목재
여우재
걸포사거리.우리병원
구두물입구
신안실크밸리
심팩이엔지
삼산건강공원(미정차)
부평시장(당약국)
루원시티사거리
한국전력
남인천농협백운지점
노인복지회관
용현아파트
용현5동행정복지센터
커넬워크(4동)
남동IC진입(미경유)
안현JC(경유)
동작세무서
여의도환승센터
공덕오거리
유진투자증권.파이낸셜뉴스신문
보라매역.동작세무서
남동IC(미경유)
드라이빙센터
영종역(청라행)
물류단지F블럭앞
물류단지D블럭앞
도화e편한세상아파트5단지
도화서희스타힐스
인천비지니스고등학교
율도근린공원
인썸호텔
영흥칼국수
영흥어린이집
십리포해수욕장
십리포제2주차장
내동교회
공항회센터
실미해수욕장
목재단지
중고차매매단지엠파크허브
테크노파크IT센터
양재IC(미정차)
선주지회차지
이화2동회차지
이화진등마을경로당
이화1동회차지
둑실동회차지
세농푸드
가양역.우성아파트
더샵하버뷰(D14)
송도더샵마스터뷰22단지(2202동)
박문중학교후문
송도더샵마스터뷰22단지(2202동)하행
블루오션골프클럽(앰코코리아)
송도스포츠센터(LNG야구장)
앰코코리아(블루오션골프클럽)
17사단입구
부흥초교
귤현현대아이파크
귤현아이파크정문
신분당선.강남역4번출구
풍림2단지
풍림1단지정문
월곶풍림아파트3차
월곶
소래포구입구
소래포구역앞
목화빌라
서울방화초등학교
서초동삼성아파트
강남역.역삼세무서
역삼역.포스코타워역삼
도곡한신아파트
양재역말죽거리.강남베드로병원
서초구청
우진기계
동양하이테크
한주글로벌
덕교삼거리
한국도심공항터미널앞
양도사거리.대림아파트.신안아파트
영종소방서
양도사거리.삼용아파트
사우고.김포고(걸포사거리방면)
한화꿈에그린정문
한라비발디정문
(주)에코마이스터
(주)경동세라믹스
프린피아통합물류센터
경인아라뱃길여객터미널
인천체육고등학교
인천환경공단입구
인천여객터미널
정서진삼거리
아라뱃길물류센터
공영산업
쿠팡물류센터
백운역(하행)
갈월초등학교
대동1차후문(종점)
서해그랑블후문
삼산푸른솔마을
신성미소지움후문
영선고등학교
부개주공3단지정문
테니스장
한국선교역사기념관
용갈비
해광병원
안남고(동보1차아파트)
작전동풍림아파트
한국콘베어공업
논현포대근린공원
공단공구상가
삼양감속기
계산현대아파트
계양국제어학관
학마을서원아파트
길주초등학교
인천국제공항
공항고속도로진입(미정차)
송도국제교입구
목감IC진입(미정차)
광명역IC출입(미정차)
KTX광명역4번출구
광명역IC진입(미정차)
목감IC출입(미정차)
인천공항T1-3층
열우물사거리
한서유통
남부고가교
전인연립(종점)
소망탑빌라
대림아파트후문
동아2단지정문
동아2단지쪽문
롯데백화점
예원아파트
예원아파트입구
동암마트
열우물보조경기장주차장
승보사입구
신동아상가
신동아상가(백운역방면)
한신삼부아파트
부개2동행정복지센터
대동어린이집
부개서초등학교
선경아파트
해물탕거리
진주상가
진주아파트3단지
진주아파트4단지
가좌체육공원
가정여중입구
가정여자중학교
진주아파트2단지6동
진주아파트2단지
