정류소명,정류소아이디,상_하행
항포,169001248,하행
장암마을,169001156,하행
한가라지고개,169001157,하행
한가라지입구,169001160,하행
해암약수,169001162,하행
석모도미네랄온천,169001164,하행
보문사,169001206,하행
보무기,169001166,하행
내건너,169001168,하행
웃말,169001170,하행
은당골,169001213,하행
삼산군립어린이집,169001172,하행
매음1리마을회관,169001174,하행
어류정입구,169001176,하행
매음3리마을회관(민머루),169001321,하행
민머루해수욕장,169001336,하행
매음3리마을회관(민머루),169001322,하행
리안월드입구,169001178,하행
해명초등학교앞,169001180,하행
인천경로당앞,169001227,하행
인내마을,169001182,하행
나무깨,169001183,하행
납섬입구,169001185,하행
전득이고개입구,169001187,하행
농막골,169001189,하행
석포리마을회관,169001191,하행
석포항,169001203,하행
공개마을,169001195,하행
석모대교전망대,169001249,하행
석모대교(석포리방향),169001139,하행
석모대교(석포리방향),169001140,하행
석모대교전망대,169001250,하행
공개마을,169001196,하행
구능재,169001194,하행
매음3리마을회관(민머루),169001321,상행
민머루해수욕장,169001336,상행
매음3리마을회관(민머루),169001322,상행
항포,169001247,하행
삼산저수지앞,169001245,하행
신동마을,169001253,하행
하리마을회관,169001243,하행
하리선착장,169001240,하행
교회앞,169001338,하행
상2리마을회관,169001337,하행
상1리마을회관(창말),169001339,하행
상주(상리),169001331,하행
뒷골 입구,169001380,하행
탄토 마을,169001381,하행
외포리소공원,169001127,상행
외포고개,169000244,상행
삼량중고등학교,169000246,상행
내가시장,169000484,상행
내가면사무소(맞은편),169000906,상행
내가초등학교,169000368,상행
고려저수지입구,169000486,상행
오상입구,169000120,상행
양구(오상1리),169000262,상행
봉성(오상2리),169000261,상행
구하1리입구,169000259,상행
평전,169000258,상행
구하2리마을회관,169000373,상행
구하2리마을회관,169000559,상행
수촌,169000358,상행
중촌,169000369,상행
양진말입구,169001057,상행
국촌,169000371,상행
항청리종점,169000558,상행
국촌,169000251,하행
양진말입구,169001056,하행
중촌,169000252,하행
수촌,169000111,하행
구하2리마을회관,169000254,하행
구하2리마을회관,169000256,하행
구하1리입구,169000562,하행
봉성(오상2리),169000377,하행
양구(오상1리),169000563,하행
오상입구,169000119,하행
고려저수지입구,169000249,하행
내가초등학교,169000554,하행
내가면사무소(사무소),169000907,하행
내가시장,169000392,하행
삼량중고등학교,169000381,하행
외포고개,169000366,하행
외포리소공원,169001128,하행
국화리야영장앞,169000843,상행
고비고개정상,169000844,상행
독장골,169000351,상행
적석사입구,169000348,상행
궁골,169000572,상행
속아지,169000848,상행
신선지입구,169001347,상행
나무다리,169001340,상행
고천5리마을회관,169001345,상행
고천5리마을회관,169001345,하행
나무다리,169001344,하행
신선지입구,169001346,하행
속아지,169000344,하행
궁골,169000572,하행
적석사입구,169000847,하행
독장골,169000846,하행
고비고개정상,169000569,하행
국화리야영장앞,169000353,하행
선행리입구,169000909,하행
청련사입구,169000841,하행
낚시터매점,169000840,하행
저수지휴게소,169000763,하행
국화맨션,169000566,하행
덕신고등학교(강화읍교회),169001229,하행
강화고등학교,169000761,하행
궁골,169000346,상행
고천3리마을회관,169000574,상행
고천교,169000339,상행
산우리고개,169000337,상행
고인돌입구,169000550,상행
오상리고인들,169000379,상행
고상골입구,169000552,상행
석모대교(황청리방향),169001198,상행
상1리마을회관(창말),169001342,상행
뒷골 입구,169001380,상행
상2리마을회관,169001343,상행
교회앞,169001348,상행
탄토 마을,169001381,상행
하리마을회관,169001244,상행
신동마을,169001254,상행
삼산저수지앞,169001246,상행
항포,169001248,상행
구능재,169001193,하행
석모대교(황청리방향),169001197,하행
황청리종점,169001207,하행
고상골입구,169000266,하행
오상리고인들,169000265,하행
저수지관리소,169000264,하행
산우리고개,169000850,하행
고천교,169000849,하행
고천3리마을회관,169000341,하행
장지포,169001238,상행
건평리,169000651,상행
해망,169001352,상행
하일부락입구,169000971,상행
내리쉼터,169000968,상행
화도터미널,169000104,상행
선수,169000433,상행
후포항입구,169000431,상행
선수여객선착장,169000479,상행
진광횟집앞,169000541,상행
장곶돈대,169000932,상행
장곶횟집,169000478,상행
버드러지,169000428,상행
장화리학생수련원,169000426,상행
장화교회앞,169000121,상행
해넘이마을,169001136,상행
새꾸지마을,169001134,상행
여차리회관,169000505,상행
여차리,169000472,상행
샛말,169000995,상행
신광주유소,169000470,상행
돈대모루,169000447,상행
미루지,169000522,상행
흥왕리,169001073,상행
장안,169000445,상행
흥왕2리마을회관 앞,169000520,상행
간촌,169000518,상행
마니산상회,169000417,상행
흥왕상회,169000516,상행
소장전,169000997,상행
장전,169000415,상행
해오름민박,169000413,상행
동막교회,169000514,상행
하얀집민박,169000440,상행
갯벌슈퍼,169000513,상행
동막해변,169000511,상행
분오리어판장,169000406,상행
넘말,169000140,상행
분오저수지,169000509,상행
산애들애,169000492,상행
정수사입구,169000404,상행
함허동천,169000403,상행
대사마을,169000948,상행
이건창생가,169000145,상행
행자골,169000583,상행
동주농장,169000401,상행
동들머리,169000705,상행
길상교회,169000148,상행
로얄호텔,169000878,상행
보릿고개,169000517,상행
전등사남문,169000515,상행
전등사동문,169000521,상행
온수리,169000020,상행
길상면주민센터,169000069,상행
방죽말,169000214,상행
마그네다리,169000900,상행
마그네사거리,169000029,상행
길직1리,169000270,상행
신현리입구,169001062,상행
목비고개,169000032,상행
옥골.옥토끼우주센터,169000561,상행
두운리,169000540,상행
불은면주민센터,169000035,상행
영은교회,169000037,상행
성터지,169000038,상행
백운곡,169000040,상행
금운교,169000858,상행
대장간마을,169000703,상행
우물골,169000930,상행
공숙입구,169000290,상행
능안,169000571,상행
가능포,169000970,상행
고창촌입구,169000345,상행
지랏돌,169001072,상행
지랏돌,169001071,하행
고창촌입구,169000166,하행
가능포,169000969,하행
능안,169000276,하행
공숙입구,169000490,하행
우물골,169000929,하행
탑재,169000115,상행
양지촌,169000342,상행
상촌,169000347,상행
내촌,169000343,상행
정수사입구,169000404,하행
함허동천,169000403,하행
대사마을,169000948,하행
이건창생가,169000145,하행
행자골,169000583,하행
동주농장,169000401,하행
내촌,169000581,하행
상촌,169000152,하행
양지촌,169000163,하행
온수교차로,169001231,상행
온수시장,169000019,상행
건일아파트,169000094,상행
한전온수출장소,169000012,상행
소담(장미)마을입구,169001236,상행
여우고개,169000980,상행
선두1리,169000099,상행
내촌,169000581,상행
상촌,169000152,상행
양지촌,169000163,상행
덕포리,169000100,상행
강화실버케어스앞,169000975,상행
문산리마을회관,169000101,상행
문산교회앞,169000589,상행
문산교회앞,169000005,상행
마니산입구,169000102,상행
화도터미널,169000105,하행
마니산입구,169000103,하행
문현,169000164,하행
문산교회앞,169000340,하행
강화마니산,169000002,하행
강화실버케어스앞,169000976,하행
덕포리,169000006,하행
양지촌,169000342,하행
상촌,169000347,하행
내촌,169000343,하행
선두1리,169000009,하행
여우고개,169000981,하행
소담(장미)마을입구,169001237,하행
KT온수분국,169000523,하행
건일아파트,169000015,하행
온수시장,169000095,하행
온수리,169000018,하행
능촌입구,169000854,상행
가나안마을앞,169000904,상행
오두마을입구,169000647,상행
안산마을,169000138,상행
오두리종점,169000529,상행
오성교회,169000853,상행
북성마을,169000528,상행
향나무골,169000648,상행
능곡마을회관,169000649,상행
구재이,169000551,상행
신현노인회관,169000527,상행
황골마을,169000135,상행
은하목장앞,169000852,상행
강남중교,169000278,상행
서두머리,169000336,상행
야촌,169000333,상행
정하,169000208,상행
어두,169000206,상행
장하,169000184,상행
대흥,169000194,상행
하룩,169000157,상행
조산,169000192,상행
조산초등학교,169000189,상행
조산교회,169000172,상행
탑재,169000109,하행
조산교회,169000338,하행
조산초등학교,169000593,하행
조산,169000334,하행
하룩,169000281,하행
대흥,169000591,하행
장하,169000204,하행
어두,169000280,하행
정하,169000183,하행
야촌,169000210,하행
서두머리,169000212,하행
강남중교,169000213,하행
마그네다리,169000900,하행
은하목장앞,169000274,하행
황골마을,169000277,하행
신현노인회관,169000279,하행
구재이,169000282,하행
능곡마을회관,169000553,하행
향나무골,169000131,하행
북성마을,169000136,하행
오성교회,169000555,하행
오두리종점,169000137,하행
안산마을,169000132,하행
오두마을입구,169000557,하행
가나안마을앞,169000905,하행
산마을고등학교,169000116,상행
산문종점,169000154,상행
산마을고등학교,169000599,상행
산문입구,169000899,상행
양도초등학교,169000329,상행
건평입구,169000170,상행
조바위,169001350,상행
건평,169000186,상행
건평마을회관,169000594,상행
건평,169000168,하행
조바위,169001351,하행
건평입구,169000331,하행
건평,169000168,상행
조바위,169001351,상행
건평입구,169000331,상행
산마을고등학교,169000116,하행
산문종점,169000154,하행
산마을고등학교,169000599,하행
산문입구,169000899,하행
건평입구,169000170,하행
조바위,169001350,하행
건평,169000186,하행
건평마을회관,169000594,하행
선수여객선착장,169000429,하행
경기도학생교육원,169000162,상행
호세요양원,169000221,상행
길직리입구,169000304,상행
예비군훈련장,169000315,상행
헤나무,169000199,상행
곤능,169000197,상행
문현,169000321,상행
어두마을,169000322,상행
가톨릭대,169000325,상행
탑재,169000579,상행
능안,169000276,상행
공숙입구,169000490,상행
양도면사무소(쉘터),169000913,상행
양도면사무소(나무),169000912,하행
공숙입구,169000290,하행
능안,169000571,하행
탑재,169000327,하행
가톨릭대,169000156,하행
어두마을,169000155,하행
문현,169000195,하행
곤능,169000319,하행
헤나무,169000317,하행
예비군훈련장,169000201,하행
길직리입구,169000313,하행
호세요양원,169000311,하행
경기도학생교육원,169000222,하행
건평리,169000187,하행
장지포,169001239,하행
선동,169000248,상행
밝게,169000991,상행
치마바위,169000247,상행
수양관,169000245,상행
선두4리마을회관,169000644,상행
구선택초교,169000896,상행
돈대마을,169000926,상행
가천의대,169000237,상행
산뒤,169000235,상행
선두5리어판장입구,169001131,상행
택리,169000859,상행
택리교회,169000229,상행
동검리입구,169000856,상행
동검상회,169000519,상행
동검도삼거리,169000223,상행
동검리마을회관입구,169001069,상행
동검리종점,169000889,상행
동검리마을회관입구,169001070,하행
동검도삼거리,169000642,하행
동검상회,169000226,하행
동검리입구,169000877,하행
택리교회,169000860,하행
택리,169000233,하행
선두5리어판장입구,169001132,하행
산뒤,169000887,하행
가천의대,169000897,하행
돈대마을,169000925,하행
구선택초교,169000239,하행
선두4리마을회관,169000242,하행
수양관,169000645,하행
치마바위,169000646,하행
밝게,169000990,하행
선동,169000886,하행
동들머리,169000705,하행
길상교회,169000148,하행
로얄호텔,169000878,하행
효자교앞,169001200,상행
신촌마을입구,169001202,상행
산촌마을,169000308,상행
길정저수지,169001055,상행
교회앞,169000309,상행
장촌길 입구,169001382,상행
색동원 앞,169000215,상행
색동원 앞,169000161,하행
장촌길 입구,169001379,하행
교회앞,169000216,하행
길정저수지,169001054,하행
산촌마을,169000217,하행
신촌마을입구,169001201,하행
효자교앞,169001199,하행
지산입구(용진),169000679,상행
용진진,169000639,상행
용당사터,169000677,상행
화도돈대,169000863,상행
오두돈대,169000536,상행
오두리(넙성입구),169000675,상행
광성보,169000674,상행
광성오리,169000862,상행
봉골,169000673,상행
덕진진,169000637,상행
초지삼거리,169000147,상행
초지,169000016,상행
황산도입구,169000861,상행
황산도,169000635,상행
황산도어판장,169000634,상행
황산도,169000263,상행
황산도관광밸트,169000873,상행
관광밸트입구,169000874,상행
강화갯벌장어,169000671,상행
장흥삼거리,169000881,상행
서남촌,169000151,상행
장흥낚시터,169000890,상행
장흥매점,169000641,상행
장안말(온천스파),169000144,상행
한수조경,169000681,상행
강화루지.강남상회,169000250,상행
애전마을,169000682,상행
쑥밭다리,169000650,상행
길상낚시터,169000883,상행
전등사동문,169000895,하행
전등사남문,169000893,하행
보릿고개,169000880,하행
길상낚시터,169000149,하행
쑥밭다리,169000683,하행
애전마을,169000894,하행
강화루지.강남상회,169000150,하행
한수조경,169000882,하행
장안말(온천스파),169000892,하행
장흥매점,169000891,하행
장흥낚시터,169000211,하행
서남촌,169000640,하행
장흥삼거리,169000153,하행
강화갯벌장어,169000633,하행
관광밸트입구,169000875,하행
황산도관광밸트,169000876,하행
황산도,169000635,하행
황산도어판장,169000634,하행
황산도,169000263,하행
황산도입구,169000636,하행
덕진진,169000672,하행
봉골,169000535,하행
광성오리,169000128,하행
광성보,169000674,하행
오두리(넙성입구),169000638,하행
오두돈대,169000361,하행
화도돈대,169000676,하행
용당사터,169000537,하행
용진진,169000678,하행
지산입구(용진),169000538,하행
더리미장어마을,169000864,하행
갑곶돈대.강화전쟁박물관,169000365,하행
갑곶돈대입구,169000726,하행
청소년수련관,169000078,하행
용진주택,169000084,하행
신촌,169000510,하행
초지큰말,169000512,하행
장자말,169000142,하행
장자촌,169000255,하행
장안말(온천스파),169000253,하행
한수조경,169000681,하행
애전마을,169000682,하행
쑥밭다리,169000650,하행
길상면주민센터,169000021,하행
오류골,169000013,하행
국제콘크리트,169001050,하행
밤나무골,169000023,하행
길상군립어린이집,169000959,하행
초지삼거리,169000112,하행
중혈마을,169000176,상행
벌말,169000175,상행
하우스앞,169000231,상행
덕정가든,169000173,상행
옹장골,169000171,상행
박공현,169000294,상행
삼동암리마을회관,169000169,상행
도장재마을,169000225,상행
재활용품수집장,169000165,상행
두두미마을,169000869,상행
조광교회입구,169000868,상행
아침가리마을회관,169000867,상행
고잔마을,169000532,상행
사슴농장,169000866,상행
고능리공소,169001208,상행
고능종점(지래),169000865,상행
고능리공소,169001209,하행
사슴농장,169000531,하행
고잔마을,169000284,하행
아침가리마을회관,169000287,하행
조광교회입구,169000533,하행
두두미마을,169000289,하행
도장재마을,169000167,하행
삼동암리마을회관,169000227,하행
박공현,169000228,하행
옹장골,169000230,하행
덕정가든,169000296,하행
하우스앞,169000174,하행
벌말,169000297,하행
중혈마을,169000299,하행
솔정정미소,169000130,상행
솔정마을,169000872,상행
솔정,169000871,상행
덕진사거리,169001310,상행
길상군립어린이집,169000960,상행
밤나무골,169000022,상행
국제콘크리트,169001051,상행
오류골,169000014,상행
공설운동장,169000091,상행
공설운동장,169000092,하행
덕진사거리,169000870,하행
솔정,169000526,하행
솔정마을,169000129,하행
솔정정미소,169000134,하행
신촌,169000510,상행
초지큰말,169000512,상행
장자말,169000142,상행
장자촌,169000255,상행
장안말(온천스파),169000253,상행
장자촌,169000141,하행
장자말,169000257,하행
초지큰말,169000260,하행
신촌,169000146,하행
강화군노인문화센터,169001373,상행
동검리입구,169000877,상행
장흥리종점,169000643,상행
장흥삼거리,169000881,하행
서남촌,169000151,하행
장흥낚시터,169000890,하행
장흥매점,169000641,하행
장안말(온천스파),169000144,하행
길상낚시터,169000883,하행
강화군노인문화센터,169001374,하행
길상낚시터,169000149,상행
쑥밭다리,169000683,상행
애전마을,169000894,상행
한수조경,169000882,상행
장안말(온천스파),169000892,상행
장흥매점,169000891,상행
장흥낚시터,169000211,상행
서남촌,169000640,상행
장흥삼거리,169000153,상행
장흥리종점,169000888,상행
동검리입구,169000856,하행
양도,169000075,상행
하우고개,169000577,상행
노랑새고개,169000273,상행
종갱이,169000288,상행
우물골,169000929,상행
산문입구,169000107,상행
비선삼거리,169000113,상행
비선삼거리,169000114,하행
양도초등학교,169000568,하행
산문입구,169000286,하행
우물골,169000930,하행
종갱이,169000180,하행
노랑새고개,169000570,하행
하우고개,169000275,하행
양도,169000074,하행
풍산빌라 입구,169001384,상행
신왕마을,169000203,상행
현대철강레이져,169001220,상행
체육공원,169001214,상행
수광티티아이,169001215,상행
세화파렛텍,169001216,상행
혜덕,169001217,상행
큐티엘,169001218,상행
풍산특수금속,169001219,상행
현대철강레이져,169001221,하행
신왕마을,169000718,하행
풍산빌라 입구,169001384,하행
신당리동촌부락,169001090,상행
청송부락,169001093,상행
대월초등학교,169001095,상행
돌머루(대산종점),169000707,하행
신당리동촌부락,169001091,하행
어류정입구,169001312,하행
탑재입구,169001315,하행
염전사택,169001317,하행
염전,169001319,하행
어류정항,169001323,하행
염전,169001320,하행
염전사택,169001318,하행
탑재입구,169001316,하행
어류정입구,169001313,하행
석모대교(석모리방향),169001137,하행
방개마을,169001142,하행
동녘개,169001147,하행
석모1리마을회관,169001146,하행
석모도수목원입구(삼산초등학교),169001143,하행
삼산면사무소,169001149,하행
석모도자연휴양림입구,169001151,하행
목개마을,169001153,하행
장암마을,169001324,하행
개건너,169001325,하행
개건너,169001326,하행
장암마을,169001332,하행
석포리마을회관,169001192,하행
농막골,169001190,하행
전득이고개입구,169001188,하행
납섬입구,169001186,하행
나무깨,169001184,하행
인내마을,169001181,하행
해명초등학교앞,169001179,하행
리안월드입구,169001177,하행
어류정입구,169001314,하행
매음1리마을회관,169001173,하행
삼산군립어린이집,169001171,하행
웃말,169001169,하행
내건너,169001167,하행
보무기,169001165,하행
황곡노인정,168001310,상행
황곡상회,168001311,상행
안풍산업삼거리,168001312,상행
두밀경노당,168001331,상행
성신아크릴산업,168001313,상행
신화슈퍼,168001314,상행
경동택배,168001315,상행
검단농기구센터,168001316,상행
삼라마이다스아파트,168001317,상행
검단초등학교,168001332,상행
검단사거리역,168000427,상행
검단하나아파트,168000422,상행
마전주공아파트,168000420,상행
쇠골큰말,168001318,상행
금곡종점,168001319,상행
쇠골큰말,168001321,하행
마전주공아파트,168001322,하행
검단하나아파트,168000421,하행
검단사거리역,168000426,하행
검단초등학교,168001333,하행
삼라마이다스아파트,168001323,하행
검단농기구센터,168001324,하행
경동택배,168001325,하행
신화슈퍼,168001326,하행
성신아크릴산업,168001327,하행
두밀경노당,168001328,하행
안풍산업삼거리,168001329,하행
황곡상회,168001330,하행
황곡노인정,168001320,하행
송도더샵센트럴시티.글로벌캠퍼스푸르지오,164000649,상행
송도글로벌캠퍼스푸르지오2단지,164000713,상행
테크노파크역,164000422,상행
캠퍼스타운역,164000420,상행
풍림1차205동,161000255,상행
금호베스트빌1단지.영종도서관,161000112,상행
공항신도시(메디컬사거리),161000258,상행
운서역(하워드존슨호텔),161000747,상행
레전드호텔,161000640,상행
영종유승한내들스카이스테이,161000760,상행
LH1단지,161000495,상행
영종고등학교,161000496,상행
넙디,161000574,상행
운서초등학교,161000282,상행
운남동,161000268,상행
영종중학교,161000464,상행
남뒤3거리,161000271,상행
영종국제물류고등학교,161000314,상행
전소,161000231,상행
관창마을,161000252,상행
영종교회,161000306,상행
중산동(까치빌라앞),161000247,상행
중산동(중촌),161000272,상행
우미린2단지정문,161000512,상행
한양수자인(후문),161000537,상행
센트럴푸르지오자이,161000661,상행
LH7단지,161000451,상행
하늘중학교,161000823,하행
해맞이공원앞,161000617,하행
운남동우체국,161000848,하행
금홍염전,161000543,하행
그린나래지하차도,161000649,하행
캠퍼스타운역,164000419,하행
테크노파크역,164000421,하행
웰카운티2단지,164000711,하행
웰카운티1단지,164000650,하행
인천지방법원,163000096,상행
학익시장앞,163000082,상행
학익사거리(동아풍림아파트),163000089,상행
장미아파트,163000094,상행
인하대정문,163000104,상행
인하대역(1번출구),163000066,상행
장미아파트(19동)앞,163000540,상행
장미아파트,163000092,상행
학익사거리(동아풍림아파트),163000084,상행
학익시장(법원검찰청),163000080,상행
법원.검찰청,163000074,상행
신동아1.2차아파트,163000507,상행
신동아3차아파트,163000494,상행
문학초등학교,163000105,상행
삼영아파트,163000116,상행
인천향교.인천도호부청사,163000125,상행
문학경기장(야구장),163000144,상행
신비마을아파트(112동),163000171,상행
관교중학교(약수터),163000203,상행
관교여자중학교,163000231,상행
신비마을아파트,163000225,상행
주안아파트,163000209,상행
진흥아파트,163000193,상행
태평아파트.주안한신휴플러스아파트,163000183,상행
쌍용아파트,163000179,상행
신기.남부종합시장(진흥사거리),163000219,상행
로얄아파트,163000247,상행
재흥시장,163000293,상행
(구)시민회관사거리,163000319,상행
주안역,163000389,상행
주안역,163000506,하행
석암초등학교앞,163000407,하행
석암초등학교,163000412,하행
(구)시민회관사거리,163000326,하행
재흥시장,163000300,하행
남광로얄아파트,163000257,하행
신기.남부종합시장(진흥사거리),163000217,하행
태평아파트.주안한신휴플러스아파트,163000180,하행
진흥아파트,163000190,하행
주안아파트,163000207,하행
신비마을아파트,163000223,하행
관교여자중학교,163000226,하행
관교중학교(약수터),163000202,하행
신비마을아파트,163000164,하행
문학경기장(월드컵경기장),163000157,하행
인천향교.인천도호부청사,163000124,하행
문학초등학교,163000110,하행
문학고개,163000101,하행
신동아아파트,163000525,하행
신동아아파트,163000072,하행
서원아파트,163000095,하행
인천지방법원,163000096,하행
서원아파트,163000095,상행
연학초등학교,163000137,상행
우진아파트,163000158,상행
주안역,163000506,상행
쌍용아파트,163000186,하행
우진아파트,163000159,하행
연학초등학교,163000138,하행
희망체육공원입구,166000912,상행
신성미소지움,166000099,상행
부개농협,166000201,상행
계량소,166000195,상행
부평6동우체국,166000186,상행
굴다리오거리,166000232,상행
부평역(12번출구),166000781,상행
부평역,166000228,상행
부평시장,166000265,상행
부평시장(한라비발디),166000336,상행
부평시장(가구의거리),166000295,상행
부평시장(한남프라자),166000259,상행
부평역,166000209,하행
굴다리오거리,166000231,하행
동수교회,166000184,하행
구도일주유소,166000902,하행
그린힐아파트,166000194,하행
부개농협,166000199,하행
신성미소지움,166000102,하행
호명사입구,166000093,하행
희망체육공원입구,166000912,하행
부개역,166000223,상행
부개성일아파트,166000293,상행
부개고입구,166000783,상행
부평여자중학교,166000726,상행
행정복지센터사거리,166000332,상행
부개주공7단지,166000387,상행
중앙아파트,166000409,상행
부광초등학교,166000434,상행
부광여자고등학교,166000471,상행
오성아파트,166000487,상행
부개주공3단지후문,166000500,상행
부개주공2단지,166000772,상행
삼산체육관역(호수공원),166000536,상행
구산중학교,166000518,하행
신명보람마을.삼부한신아파트,166000512,하행
부개종합시장,166000504,하행
오성아파트,166000480,하행
부광초등학교,166000440,하행
부평코오롱아파트106동,166000404,하행
부개주공7단지,166000385,하행
부평여자중학교,166000342,하행
부개고입구,166000345,하행
부개성일아파트,166000301,하행
부개역,166000222,하행
뉴서울1차아파트,166000275,상행
마장공원,166000286,상행
경남2차,166000305,상행
경남1차,166000343,상행
KT부평지사,166000381,상행
산곡교회,166000383,상행
산곡동주안빌딩,166000313,상행
동아아파트후문,166000258,상행
동아아파트후문,166000208,상행
농협로타리,166000751,상행
시장로터리(중앙철재),166000261,상행
부평시장(가구의거리),166000296,상행
부평시장(한라비발디),166000328,상행
부평시장입구,166000288,상행
부평역(27번출구),166000224,상행
부평역(CU편의점),166000192,하행
동아아파트,166000202,하행
동아아파트후문,166000257,하행
한국아파트,166000792,하행
대림아파트,166000382,하행
KT부평지사,166000384,하행
산곡한양7차,166000354,하행
경남아파트308동앞,166000334,하행
경남아파트311동앞,166000300,하행
경남아파트313동앞,166000287,하행
뉴서울1차아파트,166000275,하행
송도공영차고지,164000472,상행
얀센백신,164000519,상행
인천대학교공과대학,164000377,상행
인천대학교자연과학대학,164000378,상행
알앤디써비스,164000478,상행
소리공원(하모니로),164000724,상행
웰카운티4단지,164000447,상행
지식정보단지역,164000404,상행
웰카운티,164000353,상행
인천가톨릭대,164000435,상행
센트럴파크푸르지오아파트,164000544,상행
자이하버뷰,164000465,상행
더샵하버뷰,164000487,상행
송도더샵하버뷰2차,164000467,상행
더샵그린워크1단지,164000495,상행
국제학교,164000457,상행
더샵엑스포빌리지,164000480,상행
더샵하버뷰,164000485,상행
송도힐스테이트,164000479,상행
송도풍림아이원2단지,164000034,상행
금호아파트,164000349,상행
신송고등학교,164000023,상행
한진아파트,164000016,상행
연세대송도캠퍼스입구,164000489,상행
동막역(1번출구),164000039,상행
풍림2차아파트,164000050,상행
현대1차아파트,164000061,상행
대우삼환아파트,164000078,상행
연수구청,164000089,상행
동춘역(이마트),164000060,상행
경진브로아,165000042,상행
디에스솔텍,165000035,상행
세현정공,165000033,상행
(주)창원,165000029,상행
영림산업,165000028,상행
영림임업,165000026,상행
우체국사거리,165000704,상행
논현사거리,165000504,상행
논고개길,165000687,상행
주적골,165000608,상행
도림주공208동,165000143,상행
도림주공2단지,165000146,상행
도림주공1단지,165000153,상행
서창퍼스트뷰후문맞은편,165000778,상행
서창119안전센터,165000899,상행
신한빌딩,165000901,상행
서창이편한세상1002동,165000905,상행
서창센트럴푸르지오,165000903,상행
서해그랑블아파트후문,165000973,상행
서창도서관,165000893,상행
남동체육관(체조경기장),165000682,상행
남동아시아드럭비경기장,165000214,하행
만수역,165000388,하행
현광아파트(호산부인과),165000376,하행
효성상아아파트,165000358,하행
모래내시장,165000350,하행
롯데캐슬.모래내시장,165000309,하행
소구월사거리,165000268,하행
남동소방서,165000587,하행
구월동팬더아파트,165000238,하행
구월도매시장,165000193,하행
롯데백화점(인천터미널),165000588,하행
풍림아파트,163000245,하행
인명여자고등학교,163000199,하행
문학경기장(박태환수영장),164000329,하행
선학체육관(하키경기장),164000309,하행
선학역,164000305,하행
연수병원,164000296,하행
연수초등학교,164000293,하행
인천여자고등학교,164000289,하행
연수4단지입구,164000285,하행
태경아파트,164000275,하행
우주아파트,164000252,하행
동남스포피아,164000227,하행
청학초등학교,164000181,하행
청학중학교,164000161,하행
우리사랑병원,164000144,하행
연수여자고등학교,164000092,하행
무지개아파트,164000366,하행
인천뷰티예술고등학교,164000053,하행
풍림2차아파트,164000049,하행
동막역(3번출구),164000433,하행
성지아파트,164000017,하행
신송고등학교,164000024,하행
송도풍림아이원4단지,164000032,하행
송도풍림아이원1단지,164000033,하행
더샵그린애비뉴,164000486,하행
엑스포빌리지9단지,164000482,하행
국제학교,164000462,하행
송도푸르지오하버뷰,164000494,하행
송도자이하버뷰1단지,164000468,하행
자이하버뷰,164000488,하행
자이하버뷰,164000498,하행
센트럴파크푸르지오아파트,164000545,하행
인천가톨릭대,164000370,하행
웰카운티,164000352,하행
지식정보단지역,164000403,하행
웰카운티4단지,164000446,하행
소리공원(하모니로),164000723,하행
알앤디써비스,164000477,하행
인천대학교자연과학대학,164000375,하행
인천대학교공과대학,164000376,하행
얀센백신,164000520,하행
송도공영차고지,164000472,하행
힐스테이트레이크송도2차(201동),164000643,상행
힐스테이트레이크송도1차입구,164000657,상행
송담초등학교,164000670,상행
e편한세상 정문,164000626,상행
랜드마크시티센트럴더샵(203동),164000647,상행
송도sk뷰,164000710,상행
힐스테이트송도더테라스(후문),164000715,상행
송도달빛축제공원역,164000699,상행
국제업무지구역,164000528,상행
경제자유구역청,164000515,상행
송도자이하버뷰1단지,164000468,상행
송도푸르지오하버뷰,164000494,상행
자이하버뷰,164000488,상행
우리사랑병원,164000144,상행
솔안공원,164000348,상행
신연수(풍림아파트),164000240,상행
선학역(1번출구),164000306,상행
롯데백화점(인천터미널),163000513,상행
구월동팬더아파트,165000237,상행
남동구청후문(남동등기소),165000287,상행
건설기술교육원,165000354,상행
근로복지공단인천병원,166000155,상행
부천시청역3번출구.경기예고.현대백화점,210000166,상행
부천시청역1번출구,210000165,상행
계룡리슈빌,210000218,상행
신중동역6번출구.중흥중학교,210000168,상행
약대사거리,212000396,상행
부천IC진입(미정차),277103846,상행
신월IC(미정차),277103843,상행
선유고등학교,118000137,상행
합정역(가상),113000508,상행
합정역,113000424,상행
서교동,113000423,상행
홍대입구역(가상),113000505,상행
홍대입구역,113000422,상행
동교동삼거리,113000421,상행
신촌오거리.현대백화점,113000420,상행
신촌오거리.2호선신촌역,113000419,상행
이대역,113000418,상행
웨딩타운,113000476,상행
아현역,113000477,상행
종근당.충정로역,101000015,상행
서울역,101000250,상행
충정로역2호선,112000170,하행
아현역,113000478,하행
웨딩타운,113000475,하행
이대역,113000411,하행
신촌오거리.2호선신촌역,113000417,하행
신촌오거리.현대백화점,113000416,하행
동교동삼거리,113000415,하행
홍대입구역(가상),113000506,하행
홍대입구역,113000414,하행
서교동,113000413,하행
합정역(가상),113000509,하행
합정역,113000412,하행
선유고등학교,118000136,하행
신월IC(미정차),277103844,하행
부천IC출입(미정차),277103845,하행
약대사거리,212000397,하행
신중동역5번출구.중흥중학교,210000105,하행
신중동역4번출구.롯데백화점,210000163,하행
