정류소명,정류소아이디,상_하행
인천공항T2(1)번출입구(3층),161000614,상행
인천공항T2(8)번출입구(3층),161000615,상행
인천공항T2(1)A(1층),161000618,하행
인천공항T2(6)B(1층),161000619,하행
인천공항전망대(미정차),161000631,하행
하얏트호텔,161000206,하행
송도푸르지오월드마크,164000426,하행
컨벤시아,164000372,하행
송도컨벤시아,164000367,하행
인천가톨릭대,164000424,하행
웰카운티4단지,164000447,하행
지식정보단지역,164000373,하행
송도더샵센트럴시티.글로벌캠퍼스푸르지오,164000649,하행
송도글로벌캠퍼스푸르지오2단지,164000713,하행
테크노파크역,164000422,하행
송도테크노파크IT센터,165000929,하행
연세대,165000861,하행
해안도로신항만교,165000001,하행
남동소래아트홀,165000792,하행
에코메트로10단지,165000736,하행
에코메트로12단지,165000651,하행
논현동힐스테이트,165000708,하행
청능로사거리,165000622,하행
논현9단지냇마을신영지웰A,165000101,하행
소래초등학교,165000615,하행
논현13단지푸르네마을,165000617,하행
큰방죽삼거리,165000575,하행
남동구청,165000263,하행
인수초등학교,165000386,하행
만수소방서,165000433,하행
간석사거리(상인천중학교),165000426,하행
목화예식장,165000446,하행
종합터미널,163000242,상행
신연수역(3번출구),164000228,상행
원인재역(6번출구),164000166,상행
부대앞,164000594,상행
그린나래지하차도,161000648,상행
금홍염전,161000544,상행
해맞이공원앞,161000616,상행
중구청소년수련관.하늘중학교,161000824,상행
LH7단지,161000452,상행
센트럴푸르지오자이,161000660,상행
한양수자인(후문),161000510,상행
우미린2단지정문,161000513,상행
신명스카이뷰정문,161000455,상행
동보노빌리티,161000488,상행
힐스테이트,161000457,상행
한라비발디,161000459,상행
화성파크드림.스카이시티자이,161000651,상행
우미린1단지정문,161000583,상행
우미린1단지후문,161000462,상행
영종KCC스위첸옆문,161000756,상행
중산동(중촌),161000278,상행
중산동,161000305,상행
영종교회,161000545,상행
관창마을,161000253,상행
전소,161000232,상행
영종물류고등학교앞,161000307,상행
남뒤3거리,161000280,상행
영종중학교,161000463,상행
운남동,161000281,상행
운서초등학교,161000270,상행
넙디,161000575,상행
영종고등학교,161000493,상행
LH1단지,161000494,상행
영종유승한내들스카이스테이,161000759,상행
레전드호텔,161000639,상행
운서역,161000242,상행
금호베스트빌2단지.영종도서관,161000113,하행
풍림1차205동,161000256,하행
원인재역(1번출구),164000162,하행
신연수역(1번출구),164000263,하행
문학경기장(박태환수영장),164000423,하행
종합터미널,165000177,하행
동춘동차고지,164000569,상행
동춘동종점,164000037,상행
무지개아파트(동남아파트),164000042,상행
동춘2동행정복지센터,164000046,상행
한양2차아파트,164000055,상행
나사렛국제병원앞,164000068,상행
청량중학교,164000086,상행
연수어린이도서관,164000103,상행
동아금호아파트,164000347,상행
연수한양1차아파트,164000091,상행
남동대교(스퀘어원),165000063,상행
한국가스공사,165000061,상행
태평양산업,165000066,상행
인천인력개발원,165000071,상행
남동인더스파크역,165000074,상행
남동공단근린공원앞,165000073,상행
인천지방중소기업청입구,165000087,상행
삼일산업,165000097,상행
공단회관,165000123,상행
상진정공,165000136,상행
도림동입구,165000140,상행
승기천,165000170,상행
종합터미널,165000177,상행
성리초등학교,165000200,상행
길병원사거리,165000216,상행
길병원,165000590,상행
구월중학교,165000281,상행
간석래미안.자이,165000333,상행
올리브백화점,165000589,상행
간석오거리(인천웨딩홀),165000406,상행
간석오거리역(8번출구),165000449,상행
동암사거리,166000003,상행
동암역,166000013,상행
십정초등학교,166000045,상행
십정고개,166000050,상행
선린감리교회,166000047,상행
십정사거리,166000033,상행
강인여객,166000020,상행
근로자문화센터,168000010,상행
중앙사료,168000015,상행
공단자동차,168000022,상행
서인천가구단지,168000017,상행
금강탱크터미널,168000758,상행
성웅아파트,168000051,상행
가좌농협,168000066,상행
삼영아파트,168000085,상행
가좌홈플러스(쌍마아파트),168000101,상행
거북시장,168000136,상행
대은교회,168000143,상행
석남고가사거리,168000151,상행
성민병원,168000162,상행
강남시장,168000173,상행
신현119안전센터,168000596,상행
신현쇼핑,168000220,상행
(구)신현주공,168000228,상행
가정(루원시티)역,168001075,상행
뉴서울아파트,168001072,상행
대우하나아파트,168001074,상행
아나지고개,167000001,상행
유승아파트(삼성홈타운아파트),167000003,상행
북인천여자중학교,167000007,상행
새말사거리,167000009,상행
아이즈빌(부평CGV),166000595,상행
청천초등학교,166000586,상행
청천치안센터,166000533,상행
산곡동천주교회,166000473,상행
산곡역(1번출구),166000420,상행
부평우체국,166000430,상행
금호아파트,166000795,상행
부평경찰서,166000794,상행
부평구청,166000462,상행
부평여자고등학교,166000793,상행
혜성프라자,166000395,상행
KT부평지사,166000384,상행
미산초등학교,166000378,상행
한화2차,166000363,상행
한양아파트,166000310,상행
무지개.한양8차아파트,166000271,상행
대륭맨숀,166000242,상행
산곡여자중학교,166000203,상행
문화교회,166000174,상행
인평자동차고,166000787,상행
현대3단지,166000127,상행
현대자동차빌딩앞,166000103,상행
부평도서관,166000084,상행
백운공원(부평아트센터),166000075,상행
상정고,166000070,상행
상정중학교,166000059,상행
백영아파트,166000058,하행
상정고,166000069,하행
백운공원(부평아트센터),166000076,하행
부평도서관,166000082,하행
현대아파트113동,166000105,하행
현대3단지,166000129,하행
인평자동차고,166000149,하행
팔도주유소,166000774,하행
산곡여자중학교,166000198,하행
대륭맨숀,166000247,하행
무지개.한양8차아파트,166000276,하행
금호이수마운트밸리,166000316,하행
한양아파트,166000356,하행
경남1차아파트,166000376,하행
KT부평지사,166000381,하행
혜성프라자,166000393,하행
부평여자고등학교,166000410,하행
부평구청,166000451,하행
부평경찰서,166000468,하행
금호아파트,166000845,하행
쉐보레인천서비스,166000433,하행
부평우체국,166000432,하행
산곡역(7번출구),166000425,하행
산곡동천주교회,166000476,하행
청천치안센터,166000537,하행
청천초등학교,166000582,하행
아이즈빌(부평CGV),166000598,하행
새말사거리,167000638,하행
북인천여자중학교,167000008,하행
유승아파트(삼성홈타운아파트),167000004,하행
아나지고개,167000002,하행
대우하나아파트,168001073,하행
뉴서울아파트,168001071,하행
가정(루원시티)역,168001078,하행
하늘채아파트,168000225,하행
신현쇼핑,168000217,하행
신현119안전센터,168000600,하행
강남시장,168000172,하행
성민병원,168000159,하행
석남고가사거리,168000145,하행
거북시장,168000132,하행
가좌홈플러스(쌍마아파트),168000103,하행
신명아파트,168000081,하행
가좌농협,168000067,하행
성웅아파트,168000048,하행
서인천가구단지,168000028,하행
현대써비스,168000021,하행
중앙사료,168000014,하행
근로자문화센터,168000011,하행
강인여객,166000022,하행
십정사거리,166000029,하행
선린감리교회,166000043,하행
십정고개,166000049,하행
십정초등학교,166000048,하행
동암역,166000035,하행
동암사거리,166000001,하행
간석오거리역(7번출구),165000447,하행
간석오거리(인천웨딩홀),165000423,하행
올리브백화점,165000364,하행
간석금호어울림아파트,165000334,하행
구월중학교,165000286,하행
길병원,165000250,하행
길병원사거리,165000212,하행
성리초등학교,165000201,하행
종합터미널,163000242,하행
승기천,165000169,하행
도림동입구,165000141,하행
상진정공,165000138,하행
공단회관,165000119,하행
세우산업,165000094,하행
남동공단2호공원,165000075,하행
남동공단우체국,165000076,하행
인천인력개발원,165000072,하행
공단소방서,165000062,하행
남동대교,164000090,하행
동아금호아파트,164000344,하행
롯데아파트,164000110,하행
동춘마을아파트,164000087,하행
건영아파트,164000069,하행
대동아파트,164000345,하행
동춘2동행정복지센터,164000045,하행
동남아파트(무지개아파트),164000337,하행
동춘동차고지,164000569,하행
종근당,166000002,상행
간석시장,165000437,상행
간석사거리,165000430,상행
태화두진아파트,165000445,상행
벽산이삭아파트,165000458,상행
부평LH1(2)단지,166000160,상행
한국아파트,166000791,상행
부개1동행정복지센터,166000193,상행
일신시장,166000207,상행
일신동행정복지센터,166000220,상행
송내역남부,211000050,상행
구산사거리,166000843,상행
근로복지공단인천병원,166000145,상행
인천대공원,165000478,상행
남동정수장,165000372,상행
만수7.8단지앞,165000497,상행
건설기술교육원,165000353,상행
삼환아파트,165000328,상행
남동초등학교,165000254,상행
삼익.광명아파트,165000247,상행
남동중학교,165000224,상행
남동체육관(체조경기장),165000862,상행
수산동,165000175,상행
방죽삼거리,165000173,상행
동녘마을입구,165000660,상행
논현12단지산뒤마을,165000609,상행
논현13단지푸르네마을,165000611,상행
장도초등학교,165000129,상행
논현10단지별빛마을웰카운티A정문,165000121,상행
논현신일해피트리아파트,165000089,상행
논현5단지달맞이마을,165000079,상행
논현3단지하늘마을311동,165000628,상행
논현3단지하늘마을301동,165000631,상행
호구포역,165000785,상행
금강산업,165000058,상행
한국마쓰이,165000057,상행
남동공단(기신정기),165000568,상행
공단소방서,165000062,상행
남동대교,164000090,상행
삼환아파트,164000063,상행
롯데슈퍼,164000074,상행
건영아파트,164000069,상행
대동아파트,164000345,상행
동춘2동행정복지센터,164000045,상행
동남아파트(무지개아파트),164000337,상행
무지개아파트(동남아파트),164000042,하행
동춘2동행정복지센터,164000046,하행
한양2차아파트,164000055,하행
나사렛국제병원앞,164000068,하행
롯데슈퍼,164000072,하행
대우삼환아파트,164000591,하행
남동대교(스퀘어원),165000063,하행
한국가스공사,165000061,하행
경인산업,165000688,하행
기신정기,165000567,하행
대일엠앤쿡,165000059,하행
한국마쓰이,165000055,하행
금강산업,165000056,하행
호구포역,165000784,하행
인천남동우체국,165000630,하행
논현3단지하늘마을311동,165000629,하행
논현6단지어진마을한화꿈에그린A정문,165000078,하행
논현신일해피트리아파트,165000088,하행
논현11단지단풍마을A정문,165000582,하행
장도초등학교,165000127,하행
논현14단지등대마을휴먼시아아파트,165000612,하행
논현14단지등대마을,165000610,하행
논현중학교,165000573,하행
방죽삼거리,165000174,하행
수산동,165000176,하행
남동체육관(체조경기장),165000682,하행
남동중학교,165000220,하행
삼익.광명아파트,165000249,하행
남동초등학교,165000255,하행
삼환아파트,165000316,하행
건설기술교육원,165000354,하행
만수7.8단지앞,165000635,하행
인천대공원,165000471,하행
근로복지공단인천병원,166000155,하행
구산사거리,166000842,하행
송내역남부,211000050,하행
송내고등학교,166000219,하행
일신시장,166000210,하행
부개1동행정복지센터,166000191,하행
한국아파트,166000790,하행
벽산.이삭아파트,165000453,하행
태화.두진아파트,165000441,하행
간석시장,165000436,하행
종근당,166000005,하행
영종역,161000566,상행
허브주유소,161000446,상행
원성골,161000434,상행
운남교차로.잔다리,161000596,상행
운남교차로,161000435,상행
중촌교차로,161000436,상행
중산교차로,161000653,상행
옹진축협,161000315,상행
돌팍재삼거리,161000273,상행
하늘초등학교후문,161000500,상행
한신더휴스카이파크,161000654,상행
중산중학교,161000656,상행
영종하늘도서관,161000585,상행
화성파크드림후문.한라비발디,161000659,상행
한라비발디,161000460,상행
힐스테이트,161000458,상행
동보노빌리티,161000489,상행
신명스카이뷰,161000456,상행
우미린2단지후문,161000454,상행
한양수자인,161000450,상행
은골공원,161000599,상행
운서역,161000257,상행
인아교회,161000094,상행
공항초등학교,161000087,상행
주공12단지,161000082,상행
KT인천공항지사,161000095,상행
롯데마트,161000108,상행
주거단지,161000120,상행
공항교회앞,161000123,상행
삼목초등학교,161000310,상행
공항중학교,161000117,상행
영종풍림아이원1차,161000110,상행
풍림1차205동,161000256,상행
인천공항T1(3층6번),161000752,상행
인천공항T1(3층14번),161000753,상행
풍림1차205동,161000255,하행
영종주공7단지,161000111,하행
공항고등학교,161000116,하행
삼목초등학교,161000341,하행
풍림6단지,161000124,하행
주거단지,161000118,하행
KT인천공항지사,161000109,하행
주공12단지,161000084,하행
인아교회,161000091,하행
운서역,161000242,하행
은골공원,161000600,하행
영종유승한내들스카이스테이,161000760,하행
LH1단지,161000495,하행
영종고등학교,161000496,하행
넙디,161000574,하행
운서초등학교,161000282,하행
운남동,161000268,하행
영종중학교,161000464,하행
남뒤3거리,161000271,하행
영종국제물류고등학교,161000314,하행
전소,161000231,하행
관창마을,161000252,하행
영종교회,161000306,하행
중산동(까치빌라앞),161000247,하행
중산동(중촌),161000272,하행
영종KCC스위첸옆문,161000755,하행
영종KCC스위첸.한양수자인,161000449,하행
센트럴푸르지오자이,161000661,하행
LH7단지,161000451,하행
신명스카이뷰,161000453,하행
신명스카이뷰정문,161000455,하행
동보노빌리티,161000488,하행
힐스테이트,161000457,하행
한라비발디,161000459,하행
한라비발디후문.화성파크드림,161000658,하행
영종하늘도서관,161000586,하행
중산중학교,161000657,하행
한신더휴스카이파크,161000655,하행
하늘초등학교후문,161000499,하행
돌팍재삼거리,161000277,하행
옹진축협,161000304,하행
중산교차로,161000652,하행
중촌교차로,161000443,하행
운남교차로,161000444,하행
운남교차로.잔다리,161000595,하행
원성골,161000445,하행
허브주유소,161000447,하행
영종역,161000567,하행
신북항고가교,168000109,상행
풍림엑슬루타워,168000830,상행
린스트리우스,168000831,상행
중흥S클래스,168000832,상행
인천환경공단,164000570,상행
캠퍼스타운역,164000419,상행
송도센트럴파크역,164000563,상행
국제업무지구역5번출구,164000619,상행
송도달빛축제공원역,164000698,상행
송도sk뷰,164000709,상행
랜드마크시티센트럴더샵(106동),164000667,상행
송도호반베르디움3차에듀시티,164000644,상행
미송초등학교(하행),164000655,상행
볼보트럭남인천사업소,161000814,상행
청라파크자이상가,168001300,상행
골드클래스,168000936,상행
호수공원음악분수,168001027,상행
한일베라체,168000948,상행
동양엔파트,168000837,상행
휴먼시아후문,168000885,상행
제일풍경채2차323동앞,168000891,상행
남광하우스토리,168000921,상행
레이크블루,168001334,상행
청라센텀로제비앙,168001295,상행
모아미래도,168001344,상행
청라달튼국제학교,168001121,상행
청라국제도시역,168001043,상행
청라국제도시역(영종방향),168001215,하행
청라달튼국제학교,168000895,하행
